Year,District,Season,Sown_Extent,Harvested_Extent,Waterfed_Major,Waterfed_Minor,Rainfed,Yield_Extent
2005,MATALE,Yala,5368.0,5276.0,3257.0,3275.0,2519.0,3205.0
2005,NUWARA ELIYA,Yala,1932.0,1893.0,2962.0,2881.0,3812.0,2917.0
2005,GALLE,Yala,9414.0,9336.0,3866.2728350515463,3499.0,2783.0,2788.0
2005,MATARA,Yala,14115.0,14103.0,4060.0,3295.0,2794.0,3219.0
2005,HAMBANTOTA,Yala,16633.0,16492.0,4357.0,3449.0,2916.0,4166.0
2005,JAFFNA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3971.4277163904235
2005,MANNAR,Yala,1093.0,1071.0,4141.0,3815.0,3005.414551607445,4101.0
2005,VAVUNIYA,Yala,1332.0,1330.0,3873.0,3981.0,3981.0,3931.0
2005,MULLATIVU,Yala,2519.0,2442.0,3780.0,4037.0,3316.0,3792.0
2005,KILINOCHCHI,Yala,5389.0,4724.0,3599.0,3350.0,3005.414551607445,3597.0
2005,BATTICALOA,Yala,16719.0,16707.0,3418.0,3854.0,3005.414551607445,3451.0
2005,AMPARA,Yala,56324.0,56322.0,4775.0,4452.0,4452.0,4766.0
2005,TRINCOMALEE,Yala,16321.0,15095.0,4447.0,4615.0,3005.414551607445,4464.0
2005,KURUNEGALA,Yala,44961.0,36773.0,3867.0,2763.0,2532.0,2955.0
2005,PUTTALAM,Yala,5927.0,5634.0,3869.0,3065.0,2998.0,3405.0
2005,ANURADHAPURA,Yala,24294.0,24261.0,4316.0,4018.0,3331.0,4228.0
2005,POLONNARUWA,Yala,49865.0,49829.0,4778.0,4315.0,3005.414551607445,4761.0
2005,BADULLA,Yala,11394.0,11394.0,4551.0,3457.0,3457.0,4251.0
2005,MONARAGALA,Yala,6114.0,6082.0,3951.0,3377.0,2988.0,3711.0
2005,RATNAPURA,Yala,10375.0,10316.0,3961.0,2928.0,2621.0,3026.0
2005,KEGALLE,Yala,7774.0,7750.0,3866.2728350515463,3127.0,3062.0,3078.0
2005,UDAWALAWE,Yala,9190.0,9190.0,5166.0,3388.6953165208442,3005.414551607445,5166.0
